   1000   1200   
 220   267  710   
   710   79   745   
  255  492 409  
 556   56 953 
  481   804  120 
  682  242  39 
   943   477 503 
 88  715 831 
  926  986   297  
   734   313   884  
 136 446 207  
 465   409 627 
   664   154 800 
  361   507   140   
  600   343   175  
 857  411  779  
   951   580   754 
   167  220   772  
  833  441  391 
 43 358 749  
 546 217  794 
   655   439 364 
   99 838   761   
 148  318   665  
  512  542   802  
   214 259  455   
  634  523 203   
   63 978  683 
   328 224 279 
 785  159 991  
  106   455  785 
  154 236   127   
   70   198 841 
   243   542  970   
   800   842 828  
  868  751  389  
   227 236 609 
 444  253  416   
 182  159   710  
  770 608  635 
   303 531 497   
   134   577   371 
 453   691 276   
 854  710  566  
  598 954 137 
 21 522 854 
 50 868  963  
 229  506   658   
  140  736  805 
 635   939 511   
 296   811  212   
  794 184 718 
   666  744   936   
   754   16 678  
  213  115  433 
 15 389   786   
   759   612   141  
   377  47  621 
  687  960   982 
   9   768   880  
   783  883 321   
  789 617 806 
  90  242 362 
 662  361  455   
 860 948  163   
  775 95 297  
  420 824 108 
 574 789  140  
   946 153   13   
  1   301   819  
  499 838 942 
   988 665 952 
   289  22   457   
  774 146 656   
  862   96   574 
  132  483 534  
  980 72   444  
  125   791   755   
   293  765 153 
 25   21   626   
   191  431 615  
 163  612  25 
   995 333  759  
  273 450 419 
  850   892 410  
 443   591   795  
 834   52  378   
   686   591 106 
   264 884  864 
  325   277   153  
   156   13   567   
 563   716   818 
  579 492 830  
  336  48  592 
   529 912   668  
   489   489 287   
 841 436  661   
   668   312 845   
   49  966 97 
 369 562   111  
   732 197 620  
 387   690  249 
   8  513 920 
 76 652 573 
   615 771  279  
 60  461  788 
   808 445   149   
   55  31  801  
 251  756   243 
   202  832 786 
   876 9  783 
   684   850  266   
 966  671  840 
   814   606  145  
 987   839 454  
 755  570  693  
  762 663  646   
 96   267  721  
 51  352 124 
  787  444  771   
  168  110  938  
   840 229  948   
   234 154 973   
   330 199  487  
   196  283 527 
  766  940 756   
   158 763 279   
 821 92   254  
  761 502 85   
 509 818  792   
  207 636 563   
  242 934  839 
 859 343 6   
 811   597  24 
  638   191   859   
   922 963 553   
 533  82  52  
 722 737   925  
  14 66   786 
 665 114 825   
 726   510  869 
 299  55   379 
 155  154 183  
   275 227  217   
  309 906   936 
  836   697 943 
  282  97   779  
   380  466  866  
 915   192   494  
  102 980  258   
  402 321 831   
  463   869   644   
 522   123  954 
  496  565 764   
   796 536   152  
 388 858  537 
   594   593 794  
  110  877 290   
  181  522  796   
  791  882  598 
 89  489   925  
 366  686   465 
 847 498   130   
   364  154  747   
   656  527 899  
 466 708  810 
  864   674 422 
   790 773  854 
 768  156   553   
 648  437   573  
 236   535   603 
 446  708  804 
 845   687   74 
  681 186   726 
   284 303   696   
   323   487 897   
 911   711 823 
  92  813 283 
 764 724 181   
  271   113   748   
  261  15 241   
  705 354 940 
 493   622   700   
 589  744 405   
   515   841   923 
   316 798  619 
 679   445 696  
 802  939   119  
 469 372 609 
 217  835 386   
 374 261 377  
  906  684  582   
  332 167   820  
  769   155   465  
 552  217 591  
  936 508  650   
 35  197 308 
 337  665 533  
   327 842  627 
 26 594   187  
  962  847 732   
 884   787  482   
   381   941  274  
 941 861 692  
   612 229 579   
   744  563 499  
 532 481   970   
 562 581 425   
   528   278 982  
   162 914 102  
 969   342   732 
 727 63  474  
  17  836   255  
 189 133  657  
 210 320 625 
  62   327   558  
   851 490  338 
   422 721  976 
 365  786   510  
  287   540 873   
 524  982  675  
   780 335 485   
